Date,Holt_Winters_Forecast,ARIMA_Forecast
2018-10-27,6.771247630200501,4.857753554444669
2018-10-28,6.148657683244247,4.721419101656958
2018-10-29,4.409129114715744,4.709233324776928
2018-10-30,6.868475413470275,4.439834246960579
2018-10-31,7.711785248389033,4.12655408361746
2018-11-01,6.565538908236911,4.263954878579534
2018-11-02,4.935155678475908,4.434951064901282
2018-11-03,5.891152158597758,4.424895975720515
2018-11-04,4.979004928312986,4.405738691045179
2018-11-05,3.2290301959863434,4.37431123918949
2018-11-06,3.418347822180273,4.352104033062613
2018-11-07,3.929098766724894,4.369070263450882
2018-11-08,4.876237607377684,4.3847799996576216
2018-11-09,4.215347718657016,4.383260776248145
2018-11-10,4.383945984622236,4.379816744153682
2018-11-11,4.301468584747997,4.376515987134288
2018-11-12,3.8382705093009246,4.3752193133198976
2018-11-13,4.720842504220545,4.377189228428779
2018-11-14,4.393229963000207,4.378596455898753
2018-11-15,3.6947498225535806,4.378333091043657
2018-11-16,2.3679685828125834,4.377863379421019
2018-11-17,3.1632557606142946,4.37754697349158
2018-11-18,3.5347113974724937,4.377508782936795
2018-11-19,2.7160999083694914,4.377726908969609
2018-11-20,3.862456265472165,4.377847074565257
2018-11-21,3.5067624201041543,4.377805704536082
2018-11-22,3.4081824866701727,4.377749309448748
2018-11-23,3.0314790791695394,4.3777218151425235
2018-11-24,3.7351725464683767,4.377726835240682
2018-11-25,4.049334773430668,4.377749973500352
